Part Name,Specifications,Notes,Quantity,Quantity * Cost,US Link
2GT Belt,"Width: 6mm, Length: 200mm",,1,$3.79,https://www.aliexpress.us/item/3256808647975470.html?spm=a2g0o.cart.0.0.50d938dawiS2Za&mp=1&pdp_npi=6%40dis%21USD%21USD%203.79%21USD%200.99%21%21USD%200.99%21%21%21%402101e80f17786353837645210e2146%2112000046882747632%21ct%21US%216752161090%21%211%210%21&_gl=1*sc6rxo*_gcl_aw*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_au*MjAwNDg3MzIzNS4xNzcxODk3NTU0*_ga*MTUxMjAwMjg1MTExMTEwNy4xNzcxODk3NTUyNTAz*_ga_VED1YSGNC7*czE3Nzg2MzMwMzckbzExJGcxJHQxNzc4NjM1NDAxJGo2MCRsMCRoMA..&gatewayAdapt=glo2usa&_randl_shipto=US
2GT Timing Pulley,"Bore Diameter: 6mm, belt Width 6mm",,1,$4.04,aliexpress.us/item/3256807523740185.html?spm=a2g0o.cart.0.0.50d938dawiS2Za&mp=1&pdp_npi=6%40dis%21USD%21USD%204.04%21USD%200.99%21%21USD%200.99%21%21%21%402101e80f17786353837645210e2146%2112000041935546182%21ct%21US%216752161090%21%211%210%21&_gl=1*1a53vua*_gcl_aw*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_au*MjAwNDg3MzIzNS4xNzcxODk3NTU0*_ga*MTUxMjAwMjg1MTExMTEwNy4xNzcxODk3NTUyNTAz*_ga_VED1YSGNC7*czE3Nzg2MzMwMzckbzExJGcxJHQxNzc4NjM1NDM5JGoyMiRsMCRoMA..&gatewayAdapt=glo2usa&_randl_shipto=US
,,,,,
Power Supply,36V 16.6A 600W,,1,$36,https://www.amazon.com/gp/product/B0C28XQC37/ref=ox_sc_act_title_3?smid=A2231Y3TO3624O&th=1
ODESC V4.2,56V,,1,$45.99,https://www.amazon.com/gp/product/B0CB66KQ7R/ref=ox_sc_act_title_4?smid=A3QK84HB8OFPD6&psc=1
,,,,,
M5 * 12mm,,,22,,
M5 * 10mm,,,10,,
M5 * 30mm,,,6,,
M5 Nuts,,,12,,
,,,,,
M3 * 12mm,,,4,,
M3 * 25mm,,,4,,
M3 Standoffs,"Length: 15mm, OD: 5.5mm",,4,$1.94,https://www.aliexpress.us/item/3256802162021180.html?spm=a2g0o.cart.0.0.50d938dawiS2Za&mp=1&pdp_npi=6%40dis%21USD%21USD+1.94%21USD+0.99%21%21USD+0.99%21%21%21%402101e80f17786353837645210e2146%2112000020218389258%21ct%21US%216752161090%21%211%210%21&_gl=1*vtfh0x*_gcl_aw*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_au*MjAwNDg3MzIzNS4xNzcxODk3NTU0*_ga*MTUxMjAwMjg1MTExMTEwNy4xNzcxODk3NTUyNTAz*_ga_VED1YSGNC7*czE3Nzg2MzMwMzckbzExJGcxJHQxNzc4NjM1NDYwJGoxJGwwJGgw&gatewayAdapt=glo2usa
M3 Nuts,,,8,,
,,,,,
20-2040 Extrunsion,Length: 250mm,,1,$5.83,https://www.aliexpress.us/item/3256802861426275.html?spm=a2g0o.cart.0.0.50d938dawiS2Za&mp=1&pdp_npi=6%40dis%21USD%21USD+5.93%21USD+5.93%21%21USD+5.93%21%21%21%402101e80f17786353920565444e2146%2112000023431383903%21ct%21US%216752161090%21%211%210%21&_gl=1*1towicm*_gcl_aw*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_au*MjAwNDg3MzIzNS4xNzcxODk3NTU0*_ga*MTUxMjAwMjg1MTExMTEwNy4xNzcxODk3NTUyNTAz*_ga_VED1YSGNC7*czE3Nzg2MzMwMzckbzExJGcxJHQxNzc4NjM1NDY5JGo1OCRsMCRoMA..&gatewayAdapt=glo2usa
T-Nut,"20 Series, M5 Screw",,,$2.11,https://www.aliexpress.us/item/3256804471454757.html?spm=a2g0o.cart.0.0.50d938dawiS2Za&mp=1&pdp_npi=6%40dis%21USD%21USD%201.60%21USD%200.99%21%21USD%200.99%21%21%21%402101e80f17786353837645210e2146%2112000030004889023%21ct%21US%216752161090%21%211%210%21&_gl=1*g0vu1p*_gcl_aw*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3Nzg2MzMzMjIuQ2p3S0NBanduNHZRQmhCc0Vpd0FxM2hoTjhnTHQzMHZWSkhLYTlGNzZqMy1VUGRkWlZLcy1pNUl0aHZCYm9sUVhoVktuR3BfMC1ONkV4b0NDaEFRQXZEX0J3RQ..*_gcl_au*MjAwNDg3MzIzNS4xNzcxODk3NTU0*_ga*MTUxMjAwMjg1MTExMTEwNy4xNzcxODk3NTUyNTAz*_ga_VED1YSGNC7*czE3Nzg2MzMwMzckbzExJGcxJHQxNzc4NjM1NDg2JGo0MSRsMCRoMA..&gatewayAdapt=glo2usa&_randl_shipto=US
,,,,,
Pa6 Nylon Filament,66.79g of filament,,,,
